item_id,范畴,次范畴,学习能力,项目,目标,备注（观察？）,评估辅助物品,评估方法,成功标准,最小月龄,最大月龄
0-0-0-0-0,大肌肉,大肌肉移动性活动,地上活动能力,仰卧,仰卧时头部保持在中线,暂无,暂无,观察儿童的日常表现仰卧时头部经常能自己保持在中线,暂无,0,2
0-0-0-0-1,大肌肉,大肌肉移动性活动,地上活动能力,仰卧,仰卧时头和双手大致保持在中线,暂无,暂无,暂无,暂无,3,3
0-0-0-0-2,大肌肉,大肌肉移动性活动,地上活动能力,仰卧,从仰卧翻到侧卧,暂无,暂无,暂无,暂无,0,3
0-0-0-0-3,大肌肉,大肌肉移动性活动,地上活动能力,仰卧,当婴儿从仰卧被拉起直至坐着时，头和身体保持一条直线,暂无,暂无,暂无,暂无,3,6
0-0-0-0-4,大肌肉,大肌肉移动性活动,地上活动能力,仰卧,仰卧时用双手触摸脚趾头,暂无,铃铛,观察儿童日常表现或者在儿童的脚趾上绑一个铃铛，吸引他玩铃铛,双手能同时触摸脚趾或脚掌,6,7
0-0-0-0-5,大肌肉,大肌肉移动性活动,地上活动能力,仰卧,从仰卧翻到俯卧,暂无,婴儿玩具,用有趣的玩具吸引儿童翻身,从仰卧翻身到俯卧，左右两边都要完成,6,9
0-0-0-0-6,大肌肉,大肌肉移动性活动,地上活动能力,俯卧,用前臂支撑俯卧时，头向两边转,暂无,婴儿玩具,儿童俯卧时，用玩具吸引儿童抬头，向两边看,用前臂支撑俯卧时，头部能抬起45度并向左右两边转,0,3
0-0-0-0-7,大肌肉,大肌肉移动性活动,地上活动能力,俯卧,用直臂支撑俯卧时，头抬起向上望,暂无,婴儿玩具,儿童俯卧时，用玩具吸引儿童支撑上身，向上看,儿童能伸直双手支撑上身，稍微仰起头约45度-90度，并且能保持1分钟,3,4
0-0-0-0-8,大肌肉,大肌肉移动性活动,地上活动能力,俯卧,用前臂支撑俯卧时，一只手可以向前伸，取玩具,暂无,暂无,暂无,暂无,5,6
0-0-0-0-9,大肌肉,大肌肉移动性活动,地上活动能力,俯卧,俯卧时肚子贴地转180度,暂无,婴儿玩具,用玩具吸引儿童转动身体,儿童肚子贴地向左右两边旋转180度,5,6
0-0-0-0-10,大肌肉,大肌肉移动性活动,地上活动能力,俯卧,从俯卧翻到仰卧,暂无,婴儿玩具,儿童俯卧时，用有趣的玩具吸引儿童翻身,儿童从俯卧翻到仰卧，左右两边都要完成,6,7
0-0-0-0-11,大肌肉,大肌肉移动性活动,地上活动能力,俯卧,用直臂支撑俯卧时，一只手可以向前伸，取玩具,暂无,暂无,暂无,暂无,7,8
0-0-0-0-12,大肌肉,大肌肉移动性活动,地上活动能力,俯卧,俯卧时双手、双脚和头同时抬起，只用躯干贴地,暂无,暂无,暂无,暂无,7,12
0-0-0-0-13,大肌肉,大肌肉移动性活动,地上活动能力,侧坐,侧坐保持平衡,暂无,暂无,暂无,暂无,7,12
0-0-0-1-0,大肌肉,大肌肉移动性活动,地上活动能力,侧坐,从侧坐转换到四点跪,暂无,暂无,暂无,暂无,7,12
0-0-0-1-1,大肌肉,大肌肉移动性活动,地上活动能力,滚动,在地上连续侧滚,暂无,暂无,暂无,暂无,8,12
0-0-0-1-2,大肌肉,大肌肉移动性活动,地上活动能力,滚动,从仰卧向一边连续侧滚3.6米,暂无,暂无,暂无,暂无,25,48
0-0-0-1-3,大肌肉,大肌肉移动性活动,地上活动能力,滚动,从仰卧转换到侧滚，滚向不同方向的目标,暂无,暂无,暂无,暂无,37,60
0-0-0-1-4,大肌肉,大肌肉移动性活动,地上活动能力,爬行,匍匐爬行（爬行时腹部着地）,暂无,暂无,暂无,暂无,7,12
0-0-0-1-5,大肌肉,大肌肉移动性活动,地上活动能力,爬行,手膝爬行3.05米,暂无,婴儿玩具,用玩具或者在评估员的引导下，对儿童说：”爬过来拿玩具。“儿童在平地上爬行3.05米,协调手脚轮流向前（左手-右脚-右手-左脚的循环动作——爬行，并向前挪动身体,8,12
0-0-0-2-0,大肌肉,大肌肉移动性活动,地上活动能力,爬行,从地面到离地45厘米高的家具上,暂无,暂无,暂无,暂无,12,24
0-0-0-2-1,大肌肉,大肌肉移动性活动,地上活动能力,爬行,从隧道中爬过,暂无,直径约1.83米的圆桶形隧道,隧道放在地垫上，把玩具放在隧道里，对儿童说：“爬过来拿玩具。”引导儿童从隧道中爬过,暂无,12,24
